Year,Publications,Datasets
2000,2,0
2001,0,0
2002,1,0
2003,0,0
2004,1,0
2005,4,0
2006,3,0
2007,5,0
2008,3,0
2009,5,0
2010,5,0
2011,11,1
2012,9,0
2013,9,0
2014,13,2
2015,13,2
2016,20,14
2017,26,4
2018,26,12
2019,40,15
2020,39,30
2021,42,21
2022,59,48
2023,50,44
2024,52,70
