Coleoptera,Dytiscidae,Herophydrus,inquinatus,Herophydrus inquinatus,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,335,
Coleoptera,Dytiscidae,Herophydrus,nigrescens,Herophydrus nigrescens,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Regional endemic,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,336,
Coleoptera,Dytiscidae,Herophydrus,nodieri,Herophydrus nodieri,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,337,
Coleoptera,Dytiscidae,Herophydrus,obscurus,Herophydrus obscurus,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,338,
Coleoptera,Dytiscidae,Herophydrus,wewalkai,Herophydrus wewalkai,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,339,
Coleoptera,Dytiscidae,Herophydrus,,Herophydrus,Genus,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2 (Feeding mode: feeds on animals via active predation),Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Scored 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,174 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,340,
Coleoptera,Dytiscidae,Heterhydrus,senegalensis,Heterhydrus senegalensis,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,341,
Coleoptera,Dytiscidae,Heterhydrus,,Heterhydrus,Genus,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2 (Feeding mode: feeds on animals via active predation),Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Scored 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,190 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,342,
Coleoptera,Dytiscidae,Hydaticus, jeanneli,Hydaticus  jeanneli,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,343,
Coleoptera,Dytiscidae,Hydaticus,bivittatus,Hydaticus bivittatus,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,344,
Coleoptera,Dytiscidae,Hydaticus,caffer,Hydaticus caffer,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,345,
Coleoptera,Dytiscidae,Hydaticus,capicola,Hydaticus capicola,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,346,
Coleoptera,Dytiscidae,Hydaticus,dorsiger,Hydaticus dorsiger,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,347,
Coleoptera,Dytiscidae,Hydaticus,dregei,Hydaticus dregei,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,348,
Coleoptera,Dytiscidae,Hydaticus,exclamationis,Hydaticus exclamationis,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,349,
Coleoptera,Dytiscidae,Hydaticus,flavolineatus,Hydaticus flavolineatus,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,350,
Coleoptera,Dytiscidae,Hydaticus,galla,Hydaticus galla,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,351,
Coleoptera,Dytiscidae,Hydaticus,intermedius,Hydaticus intermedius,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,352,
Coleoptera,Dytiscidae,Hydaticus,matruelis,Hydaticus matruelis,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,353,
Coleoptera,Dytiscidae,Hydaticus,natalensis,Hydaticus natalensis,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Regional endemic,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,354,
Coleoptera,Dytiscidae,Hydaticus,servillianus,Hydaticus servillianus,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,355,
Coleoptera,Dytiscidae,Hydaticus,,Hydaticus,Genus,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2 (Feeding mode: feeds on animals via active predation),Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,Very slow flowing/still (< 0.1),Tachet et al. 2010,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Scored 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,43 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,β-mesosaprobic,Tachet et al. 2010,356,
Coleoptera,Dytiscidae,Hydroglyphus,aethiopicus,Hydroglyphus aethiopicus,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,357,
