,,,,,,,,,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bank soil,,,,,,,,,,,,,,,,,,,,,,,,,
Order/Class,Family,Genus,Species,Taxon,Taxon Rank,Max. body size (mm),Measured body size (mm),Max. body size (mm) - comment,Body shape,Body shape - comment,Body shape case,Body case - comment,Mobility,Mobility - comment,Attachment mechanism,Attachment mechanism - comment,Respiration,Respiration - comment,FUNCTIONAL FEEDING GROUP (FFG),FFG - comment,Habitat preference,Habitat preference - comment,Velocity preference (m/s),Velocity preference (m/s) - comment,Depth preference (m),Depth preference (m) - comment,Hydraulic habitat preference ,Habitat preference - comment,Water quality preference/sensitivity (SASS5 scores),Water quality preference/sensitivity - comment,Mode of dispersal,Mode of dispersal - comment,Dispersal potential - larval (distance in metres),Dispersal potential - larval (distance in metres) - comment,Dispersal potential - adult (distance),Dispersal potential - adult (distance) - comment,Emergence season,Emergence season - comment,Emergence duration,Emergence duration - comment,Preferred reproductive period,Preferred reproductive period - comment,No. of offspring per reproductive event,No. of offspring per reproductive event - comment,Potential no. of generation per year (Voltinism),Potential no. of generation per year (Voltinism) - comment,Reproduction type,Reproduction type - comment,Reproduction type - number of egg mass,Reproduction type - number of egg mass - comment,Aquatic stage,Aquatic stage - comment,Age to maturity (development time/speed),Age to maturity (development time/speed) - comment,Adult life span,Adult life span - comment,Diapause,Diapause - comment,Drift,Drift - comment,Exit water temporarily,Exit water temporarily - comment,Resistance form/strategy,Resistance form/strategy- comment,Oviposition behaviour,Oviposition behaviour - comment,Body armour,Body armour - comment,pH preference ,pH preference - comment,Stream zonation preference,Stream zonation preference - comment,Biological distribution/endemism,Biological distribution/endemism- comment,Thermal preference,Thermal preference - comment,Critical Thermal Maxima (CTM),CTM - Comment,Incipient Lethal Upper Limit,Incipient Lethal Upper Limit - comment,Optimal temperature of emergence (ºC),Optimal temperature of emergence (ºC) - comment,Turbidity preference,Turbidity preference - comment,Trophic status preferences,Trophic status preferences - comment,Saprobic preference,Saprobic preference - comment,Original Order,
Amphipoda,Bolttsiidae,Bolttsia,minuta,Bolttsia minuta,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,1,
Amphipoda,Bolttsiidae,Bolttsia,,Bolttsia,Genus,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder (Feeding mode:  feeds by fragmenting leaves and large pieces of plant material,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Scored 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,,,,,,,,,,,,,,,,,2,
Amphipoda,Bolttsiidae,,,Bolttsiidae,Family,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder (Feeding mode:  feeds by fragmenting leaves and large pieces of plant material,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Scored 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,,,,,,,,,,,,,,,,,3,
Amphipoda,Corophyiidae,Corophium,triaenonyx,Corophium triaenonyx,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,4,
Amphipoda,Corophyiidae,Corophium,,Corophium,Genus,Small (5–10),5–10 mm ,Tachet et al. 2010,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder (Feeding mode:  feeds by fragmenting leaves and large pieces of plant material,Eder et al. 1995,Vegetation,Tachet et al. 2010,Very slow flowing/still (< 0.1),Tachet et al. 2010,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Scored 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,Multivoltine,Tachet et al. 2010,,ovoviviparous (Tachet et al. 2010). ,,,All (egg to adult),Tachet et al. 2010,,,,,,,,,No,,None,,,,,Hard cover of chiton (Hamrsky 2013).,Alkaline,> 6 (Tachet et al. 2010),,,,,Warm stenotherm (preference for a small warm temperature range (above 18 °C),Tachet et al. 2010,,,,,,,No preference,Live in freshwater and brackish water (Tachet et al. 2010),Mesotrophic,Tachet et al. 2010,β-mesosaprobic,Tachet et al. 2010,5,
Amphipoda,Corophyiidae,Grandidierella,lignorum,Grandidierella lignorum,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Widespread,,,,,,,,,,,,,,,,6,
Amphipoda,Corophyiidae,Grandidierella,,Grandidierella,Genus,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder (Feeding mode:  feeds by fragmenting leaves and large pieces of plant material,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Scored 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,,,,,,,,,,,,,,,,,7,
Amphipoda,Corophyiidae,,,Corophyiidae,Family,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder (Feeding mode:  feeds by fragmenting leaves and large pieces of plant material,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Scored 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,,,,,,,,,,,,,,,,,8,
